FIP_ID,STATE,COUNTY,79_SAMPLEDLANDWATER_ACRES,79_SE,79_SE_PERCENT,79_PLOT_COUNT,2_FORESTLAND_ACRES,2_SE,2_SE_PERCENT,2_PLOT_COUNT,20_NETSAWLOGVOLSAWTMBR_BRDFT,20_SE,20_SE_PERCENT,20_PLOT_COUNT,14_NETMERCHBOLELIVETREES_CBFT,14_SE,14_SE_PERCENT,14_PLOT_COUNT,203_AVGNETGROWTHSAWTMBR_BRDFT,203_SE,203_SE_PERCENT,203_PLOT_COUNT,1203_AVGANNGROSSGROWTHSAWTMBR_BRDFT,1203_SE,1203_SE_PERCENT,1203_PLOT_COUNT,227_AVGREMOVALSAWTMBR_BRDFT,227_SE,227_SE_PERCENT,227_PLOT_COUNT,98_CARBONLIVEABOVEGRND_MT,98_SE,98_SE_PERCENT,98_PLOT_COUNT
01001,AL,Autauga,377580.31,46637.61,12.35,63,298085.26,40548.33,13.60,55,1272395412.69,251314928.20,19.75,42,515569023.77,86804830.45,16.84,53,96958409.15,19371476.88,19.98,47,105931389.60,19513548.81,18.42,47,52717074.69,19120794.05,36.27,15,6057470.15,971812.46,16.04,55
01003,AL,Baldwin,1292833.13,72472.65,5.61,217,731076.54,56357.54,7.71,133,4189265295.05,538960893.94,12.87,106,1432585733.82,151979640.69,10.61,127,231828196.11,33396021.39,14.41,119,252781299.84,33709776.31,13.34,119,65932144.73,20118254.24,30.51,24,16665248.85,1642738.18,9.86,133
01005,AL,Barbour,575334.15,56905.51,9.89,96,442719.77,49538.75,11.19,76,2078440581.81,384672214.89,18.51,56,750022656.97,112582667.81,15.01,67,150495748.42,27591677.71,18.33,65,164784657.60,28334040.38,17.19,65,88529262.85,27208515.01,30.73,22,8758300.09,1224615.32,13.98,76
01007,AL,Bibb,379105.77,45753.29,12.07,64,320476.37,41230.17,12.87,59,2138592535.56,359283524.10,16.80,50,686243501.65,102797025.91,14.98,58,84295671.53,20654477.43,24.50,53,114864920.26,18529044.84,16.13,53,34545646.91,14732431.36,42.65,12,8103051.28,1169885.23,14.44,59
01009,AL,Blount,417160.64,48333.16,11.59,70,240144.90,35735.71,14.88,47,1539197338.20,339615098.73,22.06,36,472805676.09,85079990.57,17.99,43,66627661.07,17812698.93,26.73,39,79601539.17,16722678.96,21.01,39,16200040.14,8512550.83,52.55,7,5673764.27,980883.91,17.29,47
01011,AL,Bullock,408258.57,48350.35,11.84,68,327903.66,43126.45,13.15,55,1810634324.85,341110096.31,18.84,47,628612607.31,99694007.59,15.86,53,124951554.78,23289516.67,18.64,53,140717252.00,24540956.40,17.44,53,53320472.38,19986057.69,37.48,15,7357473.52,1123584.44,15.27,55
01013,AL,Butler,486845.45,52493.44,10.78,81,403147.80,47090.99,11.68,70,2318124536.32,395066104.71,17.04,58,790933933.08,110571084.11,13.98,66,199798828.14,34565670.95,17.30,67,219033122.66,35738328.36,16.32,67,100250304.61,27579184.73,27.51,30,8915043.29,1188835.30,13.34,70
01015,AL,Calhoun,364503.02,45544.71,12.50,61,194733.87,32661.15,16.77,37,1244594972.88,277209069.76,22.27,35,377983318.77,74243748.29,19.64,35,48074919.41,13924199.06,28.96,36,65846116.16,14649388.70,22.25,36,27204646.05,13875656.18,51.00,8,4576749.77,852513.27,18.63,37
01017,AL,Chambers,378618.25,46628.47,12.32,63,310098.03,41518.28,13.39,57,2007798814.46,419869778.54,20.91,45,670870830.01,108542544.57,16.18,53,158653338.52,29039852.69,18.30,50,162199860.50,29881892.30,18.42,50,70732314.02,22140846.25,31.30,19,7439354.53,1148588.17,15.44,57
01019,AL,Cherokee,393948.88,47128.44,11.96,66,253868.40,37104.09,14.62,49,1499521309.85,295284005.40,19.69,43,503719674.50,87542817.07,17.38,46,87409303.11,19988950.91,22.87,45,96277305.15,20582242.45,21.38,45,22796268.17,12008990.04,52.68,6,6074265.98,1005308.04,16.55,49
