STATE_COUNTY_CODE,79_SAMPLEDLANDWATER_ACRES,SE_x,SE_PERCENT_x,PLOT_COUNT_x,2_FORESTLAND_ACRES,SE_y,SE_PERCENT_y,PLOT_COUNT_y,20_NETSAWLOGVOLSAWTMBR_BRDFT,SE_x,SE_PERCENT_x,PLOT_COUNT_x,14_NETMERCHBOLELIVETREES_CBFT,SE_y,SE_PERCENT_y,PLOT_COUNT_y,203_AVGNETGROWTHSAWTMBR_BRDFT,SE_x,SE_PERCENT_x,PLOT_COUNT_x,1203_AVGANNGROSSGROWTHSAWTMBR_BRDFT,SE_y,SE_PERCENT_y,PLOT_COUNT_y,227_AVGREMOVALSAWTMBR_BRDFT,SE_x,SE_PERCENT_x,PLOT_COUNT_x,98_CARBONLIVEABOVEGRND_MT,SE_y,SE_PERCENT_y,PLOT_COUNT_y
`0001 01001 AL Autauga,377580.3080838902,46637.6079595557,12.3517055739,63,298085.262463465,40548.3270226165,13.6029291376,55,1272395412.691206,251314928.19687417,19.7513230314,42,515569023.77299196,86804830.44702828,16.8367039997,53,96958409.1547004,19371476.876576256,19.9791612151,47,105931389.59566887,19513548.80525122,18.4209315857,47,52717074.6856571,19120794.05243963,36.270590063,15,6057470.146677018,971812.4618946001,16.0432067903,55
`0002 01003 AL Baldwin,1292833.1317580047,72472.6462674452,5.6057231585,217,731076.5367123982,56357.5354581802,7.708842047,133,4189265295.0514503,538960893.9395113,12.8652843871,106,1432585733.818262,151979640.68847057,10.6087640761,127,231828196.11300296,33396021.387456648,14.4055045708,119,252781299.83764732,33709776.31015438,13.3355498733,119,65932144.73112476,20118254.24426719,30.5135747158,24,16665248.854405038,1642738.1755043247,9.8572675983,133
`0003 01005 AL Barbour,575334.1534160787,56905.5121606578,9.8908628703,96,442719.7724313059,49538.7537730786,11.189641136,76,2078440581.8148842,384672214.891159,18.5077321073,56,750022656.9718175,112582667.80808783,15.0105689157,67,150495748.41573855,27591677.70632968,18.3338585952,65,164784657.60100737,28334040.38026063,17.1945864334,65,88529262.84619902,27208515.010803442,30.733922475,22,8758300.090781866,1224615.3191371518,13.9823402537,76
`0004 01007 AL Bibb,379105.7651272956,45753.2871857151,12.0687394902,64,320476.3676503797,41230.1689401899,12.8652759149,59,2138592535.5616455,359283524.10494596,16.7999989774,50,686243501.6540725,102797025.90647987,14.9796720346,58,84295671.52580805,20654477.434307627,24.5024175743,53,114864920.26491609,18529044.837352436,16.1311606665,53,34545646.91024845,14732431.362275004,42.6462743643,12,8103051.281748167,1169885.226188718,14.4375888232,59
`0005 01009 AL Blount,417160.6382721713,48333.1644687808,11.5862236353,70,240144.9035961726,35735.7072403756,14.8808934544,47,1539197338.2013743,339615098.73381704,22.0644286671,36,472805676.0858078,85079990.5714103,17.9947058326,43,66627661.06727908,17812698.932149958,26.7346904376,39,79601539.17105068,16722678.963936802,21.0079844411,39,16200040.143083934,8512550.825919373,52.546479828,7,5673764.26785958,980883.9060215227,17.2880623818,47
`0006 01011 AL Bullock,408258.5731553847,48350.3498570979,11.843070308,68,327903.6589893983,43126.446179239,13.1521698514,55,1810634324.8496232,341110096.31443846,18.8392593487,47,628612607.3061258,99694007.58581209,15.8593713246,53,124951554.7773067,23289516.671853825,18.6388370384,53,140717252.0011862,24540956.404291183,17.4399059499,53,53320472.382436365,19986057.692866776,37.4828969059,15,7357473.518831057,1123584.4375806241,15.2713351221,55
`0007 01013 AL Butler,486845.4459755545,52493.4394747493,10.7823622278,81,403147.7992638878,47090.9948214343,11.680826463,70,2318124536.318313,395066104.713829,17.042488379,58,790933933.0847641,110571084.11441252,13.9798129135,66,199798828.14438576,34565670.94600548,17.300237077,67,219033122.66236392,35738328.36456908,16.3164036243,67,100250304.61252835,27579184.729077604,27.5103251164,30,8915043.289853849,1188835.3044875988,13.3351601987,70
`0008 01015 AL Calhoun,364503.0168607579,45544.7052170573,12.4950146118,61,194733.8695428854,32661.1492938435,16.7721975486,37,1244594972.8831592,277209069.75832164,22.2730346657,35,377983318.7694322,74243748.2895761,19.6420700605,35,48074919.41193135,13924199.060549013,28.9635411372,36,65846116.1582024,14649388.700248012,22.2479161338,36,27204646.04779442,13875656.18132476,51.0047296956,8,4576749.774656506,852513.2666558343,18.627045581,37
`0009 01017 AL Chambers,378618.253596989,46628.4706311838,12.3154312261,63,310098.0297288335,41518.2841295553,13.3887610205,57,2007798814.4625378,419869778.544067,20.9119447387,45,670870830.0087662,108542544.57403953,16.1793507362,53,158653338.5213732,29039852.689935982,18.3039657158,50,162199860.4961049,29881892.296670314,18.4228840921,50,70732314.02490798,22140846.247637015,31.3023072309,19,7439354.53487158,1148588.172337261,15.4393525265,57
`0010 01019 AL Cherokee,393948.8781684442,47128.4377364921,11.9630846407,66,253868.3962850542,37104.0903098667,14.6154822155,49,1499521309.8476806,295284005.3951241,19.6918845672,43,503719674.50223,87542817.06794757,17.3792729368,46,87409303.11082456,19988950.90994077,22.8682190551,45,96277305.15225714,20582242.45032353,21.3780832542,45,22796268.170680612,12008990.037007134,52.6796313638,6,6074265.982819859,1005308.0436575997,16.5502802561,49
`0011 01021 AL Chilton,450958.6803822533,50647.3334956275,11.2310363896,76,336649.1035653431,42848.5760987775,12.727963819,63,1636324134.524039,297566839.2990889,18.1850791674,51,634190396.3038615,98041858.5759988,15.4593729497,61,105493740.11021213,19300273.53757046,18.2951836928,55,115264509.29850455,20312559.185248762,17.6225616271,55,28275511.161188364,11735902.078042373,41.5055346343,8,7707841.677915559,1134290.504816165,14.7160586869,63
