FIP_ID,STATE,COUNTY,79_SAMPLEDLANDWATER_ACRES,79_SE,79_SE_PERCENT,79_PLOT_COUNT,2_FORESTLAND_ACRES,2_SE,2_SE_PERCENT,2_PLOT_COUNT,20_NETSAWLOGVOLSAWTMBR_BRDFT,20_SE,20_SE_PERCENT,20_PLOT_COUNT,14_NETMERCHBOLELIVETREES_CBFT,14_SE,14_SE_PERCENT,14_PLOT_COUNT,203_AVGNETGROWTHSAWTMBR_BRDFT,203_SE,203_SE_PERCENT,203_PLOT_COUNT,1203_AVGANNGROSSGROWTHSAWTMBR_BRDFT,1203_SE,1203_SE_PERCENT,1203_PLOT_COUNT,227_AVGREMOVALSAWTMBR_BRDFT,227_SE,227_SE_PERCENT,227_PLOT_COUNT,98_CARBONLIVEABOVEGRND_MT,98_SE,98_SE_PERCENT,98_PLOT_COUNT
08001,CO,Adams,766530.0,0.0,0.0,132,1451.76,1451.76,100.0,1.0,,,,,,,,,,,,,,,,,,,,,2243.43,2243.43,100.0,1.0
08003,CO,Alamosa,463056.0,0.0,0.0,78,29457.85,11908.99,40.43,5.0,65125974.97,62743592.77,96.34,2.0,37149206.06,20121544.87,54.16,5.0,-4538645.67,4687140.68,103.27,1.0,1817397.8,1876859.26,103.27,1.0,,,,,302009.66,151165.07,50.05,5.0
08005,CO,Arapahoe,515475.0,0.0,0.0,90,5727.5,5727.5,100.0,1.0,35995545.06,35995545.06,100.0,1.0,8606275.51,8606275.51,100.0,1.0,682043.29,682043.29,100.0,1.0,682043.29,682043.29,100.0,1.0,,,,,71711.18,71711.18,100.0,1.0
08007,CO,Archuleta,867504.0,7001.94,0.81,132,688559.95,23427.93,3.4,117.0,5287869547.37,516418859.97,9.77,94.0,1258900228.5,96500405.77,7.67,112.0,-150450005.03,58091505.36,38.61,76.0,87753831.26,9014363.63,10.27,76.0,793224.48,771579.35,97.27,1.0,11290384.11,713482.63,6.32,117.0
08009,CO,Baca,1636528.0,0.0,0.0,272,26879.18,12409.12,46.17,5.0,34221613.09,34580636.86,101.05,1.0,14636947.96,11144412.09,76.14,4.0,-681582.88,644160.62,94.51,1.0,1148908.7,1085827.95,94.51,1.0,,,,,144458.99,101191.92,70.05,5.0
08011,CO,Bent,986313.0,0.0,0.0,155,53680.8,11311.99,21.07,7.0,,,,,13311074.02,3818329.89,28.69,6.0,,,,,,,,,,,,,162919.81,43867.39,26.93,7.0
08013,CO,Boulder,480876.0,3390.19,0.71,82,222841.44,16725.06,7.51,37.0,933160621.41,164202036.73,17.6,35.0,291256471.58,42458865.12,14.58,37.0,6663746.06,4564579.99,68.5,28.0,18884752.4,3257433.28,17.25,28.0,6860249.48,6290500.6,91.69,2.0,2619177.14,317167.07,12.11,37.0
08015,CO,Chaffee,649601.0,1556.82,0.24,107,396351.37,16117.09,4.07,73.0,2114107957.24,352322278.09,16.67,51.0,628457566.12,71214972.15,11.33,70.0,-6444259.88,13184341.39,204.59,42.0,30335735.9,4955861.84,16.34,42.0,4470849.35,3876785.45,86.71,2.0,5308490.3,481210.49,9.06,73.0
08017,CO,Cheyenne,1140074.0,0.0,0.0,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08019,CO,Clear Creek,253731.0,2501.21,0.99,45,177285.65,11414.81,6.44,32.0,1293770575.5,220379413.62,17.03,30.0,395453760.96,53820883.62,13.61,31.0,2882600.17,6251663.73,216.88,24.0,18408048.56,3024383.57,16.43,24.0,,,,,3130975.51,371023.72,11.85,32.0
08021,CO,Conejos,826153.0,5407.74,0.65,136,270253.55,18190.9,6.73,49.0,1725496503.24,249445330.57,14.46,38.0,504428471.48,55773002.16,11.06,49.0,-89015136.66,39543731.91,44.42,31.0,33133825.23,5372789.36,16.22,31.0,9054393.49,8612745.26,95.12,4.0,4265002.48,422418.98,9.9,49.0
08023,CO,Costilla,787481.0,3531.56,0.45,129,289298.1,10848.35,3.75,52.0,1483852205.17,202035089.28,13.62,34.0,476055116.63,46915413.47,9.86,51.0,21297155.22,5366400.65,25.2,23.0,28855499.37,4859578.59,16.84,23.0,,,,,4091376.23,371298.03,9.08,52.0
08025,CO,Crowley,512210.0,0.0,0.0,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08027,CO,Custer,473536.0,2321.01,0.49,76,241798.54,14332.26,5.93,41.0,1314817323.86,238009441.84,18.1,35.0,377953219.52,59777989.35,15.82,40.0,482143.86,10621784.38,2203.03,32.0,26200668.08,6625141.63,25.29,32.0,,,,,3444374.58,451393.72,13.11,41.0
08029,CO,Delta,735052.0,1512.5,0.21,122,342719.86,21147.36,6.17,68.0,1869657188.5,412299506.67,22.05,27.0,582348651.29,74705534.48,12.83,65.0,186791.05,19611921.91,10499.39,24.0,32279923.5,8131592.97,25.19,24.0,646480.68,756308.33,116.99,1.0,5048773.41,492904.58,9.76,68.0
08031,CO,Denver,99159.0,0.0,0.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08033,CO,Dolores,683577.0,1530.22,0.22,108,392819.59,22897.51,5.83,72.0,3690641021.11,487518631.75,13.21,43.0,847494704.39,87436910.04,10.32,69.0,-10185391.05,13441277.18,131.97,33.0,54608665.55,7297961.89,13.36,33.0,,,,,6932605.66,569179.41,8.21,72.0
08035,CO,Douglas,539357.0,5320.95,0.99,77,253471.29,15258.66,6.02,42.0,1235898850.2,202239194.59,16.36,29.0,310590102.28,42314328.44,13.62,36.0,16695253.69,7087347.64,42.45,23.0,22139497.86,6603140.8,29.83,23.0,1661311.11,1518188.83,91.38,3.0,3443251.84,386502.19,11.22,42.0
08037,CO,Eagle,1082749.0,2847.36,0.26,184,717149.95,23260.29,3.24,136.0,4808220815.12,481322419.06,10.01,89.0,1414416531.96,100027146.93,7.07,131.0,-22297520.83,25476620.04,114.26,69.0,109488598.86,12288255.79,11.22,69.0,6307564.21,6805114.92,107.89,1.0,11591704.9,697674.57,6.02,136.0
08039,CO,Elbert,1184567.0,0.0,0.0,198,32512.18,12953.85,39.84,7.0,281238543.36,150656289.55,53.57,6.0,59555411.23,30082987.1,50.51,6.0,3011325.66,1771541.59,58.83,3.0,3011325.66,1771541.59,58.83,3.0,,,,,511757.98,249033.34,48.66,7.0
08041,CO,El Paso,1362913.0,1937.28,0.14,229,211203.06,16592.05,7.86,41.0,1061192350.58,146044168.18,13.76,33.0,280446547.46,31592391.01,11.27,39.0,13250400.79,4460850.77,33.67,27.0,18293018.87,3100823.81,16.95,27.0,108922.02,119125.96,109.37,1.0,2600027.84,265870.3,10.23,41.0
08043,CO,Fremont,981726.0,9331.59,0.95,153,699200.12,20876.2,2.99,112.0,1216950392.69,232107595.33,19.07,47.0,614405635.4,47693025.8,7.76,108.0,9331771.56,5434095.96,58.23,38.0,17399601.92,3907782.37,22.46,38.0,988729.64,896405.11,90.66,1.0,5855551.25,380911.72,6.51,112.0
08045,CO,Garfield,1891680.0,6210.47,0.33,299,1196791.56,28843.65,2.41,215.0,3971140028.53,493048543.06,12.42,100.0,1321905033.3,99518604.97,7.53,199.0,64016352.06,17478007.01,27.3,84.0,121936866.42,16591306.45,13.61,84.0,,,,,12936230.14,692054.35,5.35,215.0
08047,CO,Gilpin,96162.0,0.0,0.0,14,92727.64,3434.36,3.7,14.0,492309436.82,118780884.88,24.13,14.0,206494498.66,31017521.44,15.02,14.0,4543346.61,2279923.47,50.18,11.0,11351473.19,2160415.55,19.03,11.0,984380.73,836300.71,84.96,2.0,1612215.75,203388.33,12.62,14.0
08049,CO,Grand,1196542.0,3718.08,0.31,202,726863.69,21073.38,2.9,130.0,3401343200.04,427495530.12,12.57,97.0,1014601772.69,83233396.89,8.2,125.0,-153580765.92,30673514.35,19.97,82.0,92910969.65,7791355.98,8.39,83.0,15173046.98,9318579.95,61.42,6.0,8849874.08,563221.79,6.36,130.0
08051,CO,Gunnison,2086229.0,3287.96,0.16,342,1215590.41,27679.86,2.28,219.0,11852497961.72,931376671.01,7.86,181.0,3015018805.01,175106773.35,5.81,206.0,49742007.25,28839078.69,57.98,150.0,226066189.21,19610774.64,8.67,150.0,1114487.68,1124214.18,100.87,1.0,24394290.45,1173154.64,4.81,219.0
08053,CO,Hinsdale,718807.0,4958.48,0.69,112,393839.93,20089.76,5.1,69.0,2474377627.01,418377571.01,16.91,52.0,615144102.89,80051405.85,13.01,65.0,-285128808.58,67005329.61,23.5,48.0,61448148.98,10751364.74,17.5,48.0,,,,,5255034.46,560514.45,10.67,69.0
08055,CO,Huerfano,1019671.0,8041.33,0.79,153,472061.33,19604.42,4.15,72.0,1017653675.67,211011397.55,20.74,35.0,443584954.69,47602847.47,10.73,70.0,-14234362.09,16264369.89,114.26,26.0,22350860.81,4253302.36,19.03,26.0,,,,,4571097.58,406442.79,8.89,72.0
