FIP_ID,STATE,COUNTY,79_SAMPLEDLANDWATER_ACRES,79_SE,79_SE_PERCENT,79_PLOT_COUNT,2_FORESTLAND_ACRES,2_SE,2_SE_PERCENT,2_PLOT_COUNT,20_NETSAWLOGVOLSAWTMBR_BRDFT,20_SE,20_SE_PERCENT,20_PLOT_COUNT,14_NETMERCHBOLELIVETREES_CBFT,14_SE,14_SE_PERCENT,14_PLOT_COUNT,203_AVGNETGROWTHSAWTMBR_BRDFT,203_SE,203_SE_PERCENT,203_PLOT_COUNT,1203_AVGANNGROSSGROWTHSAWTMBR_BRDFT,1203_SE,1203_SE_PERCENT,1203_PLOT_COUNT,227_AVGREMOVALSAWTMBR_BRDFT,227_SE,227_SE_PERCENT,227_PLOT_COUNT,98_CARBONLIVEABOVEGRND_MT,98_SE,98_SE_PERCENT,98_PLOT_COUNT
13001,GA,Appling,352627.39,45684.51,12.96,59,231935.09,36094.78,15.56,45,1428268862.09,322602532.86,22.59,31,526264366.72,102595039.23,19.49,40,108273879.89,23669127.65,21.86,37,119766044.85,25531405.62,21.32,37,54990222.49,26073757.06,47.42,11.0,5871910.34,1097234.36,18.69,45
13003,GA,Atkinson,233784.75,37335.34,15.97,39,156354.63,29838.79,19.08,30,398526232.45,116983897.14,29.35,21,181568562.46,43291281.19,23.84,27,40628409.14,11023570.06,27.13,25,41393299.75,11211811.20,27.09,25,34398836.23,21529293.42,62.59,6.0,2284829.11,509704.45,22.31,30
13005,GA,Bacon,174867.92,32423.21,18.54,29,102351.33,23815.46,23.27,22,522108849.82,177305304.99,33.96,15,167646984.13,52180316.55,31.13,18,50993811.72,14998505.58,29.41,17,50993811.72,14998505.58,29.41,17,24181268.49,18397479.32,76.08,7.0,1926830.32,550744.80,28.58,22
13007,GA,Baker,214031.59,35005.96,16.36,36,130895.48,26648.51,20.36,24,413651275.55,120295677.23,29.08,18,181834927.19,48370497.95,26.60,21,-6588075.39,18183705.25,276.01,20,29198741.54,7914386.27,27.11,20,29514801.92,12696837.62,43.02,7.0,2279490.31,616301.21,27.04,24
13009,GA,Baldwin,178464.56,32477.31,18.20,30,124568.71,26277.61,21.09,25,996889115.63,292397042.15,29.33,21,275471556.82,71170600.08,25.84,24,44374711.98,14246048.98,32.10,20,59585836.19,17158953.70,28.80,20,22993714.28,14444120.8,62.82,5.0,3112755.12,754611.29,24.24,25
13011,GA,Banks,149766.76,29673.84,19.81,25,83271.64,20982.34,25.20,17,551320473.05,222057335.31,40.28,14,163223817.68,53622423.18,32.85,17,21621335.23,8988023.64,41.57,14,25817106.53,9545281.72,36.97,14,6992034.63,4952697.25,70.83,2.0,2037825.22,612486.06,30.06,17
13013,GA,Barrow,103812.50,24788.95,23.88,17,46368.13,14968.53,32.28,11,650572165.26,234092422.43,35.98,11,149242692.93,50990632.83,34.17,11,21337323.42,7851222.27,36.80,11,29367655.39,10075007.20,34.31,11,22642856.54,19210062.65,84.84,2.0,1629699.45,557811.46,34.23,11
13015,GA,Bartow,298163.47,40575.85,13.61,49,159425.73,29357.63,18.41,30,875450738.34,231291129.29,26.42,27,285164629.09,63299004.39,22.20,29,59829118.35,15692742.76,26.23,28,63974517.08,16000043.59,25.01,28,5432785.53,3385293.65,62.31,5.0,3490811.54,731844.78,20.96,30
13017,GA,Ben Hill,162417.85,30696.38,18.90,27,87707.53,22284.51,25.41,16,677758224.41,218352595.07,32.22,15,212051406.13,61261322.51,28.89,16,39403056.60,14667587.78,37.22,16,50390598.31,14538232.06,28.85,16,9706464.32,6023850.56,62.06,3.0,2355354.14,666348.22,28.29,16
13019,GA,Berrien,300177.60,41171.86,13.72,50,149111.70,28574.92,19.16,27,940909464.61,274119864.68,29.13,22,304444155.56,74572895.68,24.49,26,54180861.84,14368390.41,26.52,24,56899740.86,15535988.61,27.30,24,18564283.66,13992584.42,75.37,3.0,3610750.53,830351.38,23.00,27
13021,GA,Bibb,172165.17,31874.96,18.51,28,76472.61,20741.28,27.12,15,420680281.91,167592178.09,39.84,12,131840441.72,44088097.75,33.44,15,14660841.92,6314767.75,43.07,13,17678876.58,6282017.62,35.53,13,13502002.06,11470607.44,84.95,3.0,1597144.13,493405.78,30.89,15
13023,GA,Bleckley,126110.62,27391.44,21.72,21,76077.73,21119.29,27.76,13,460128009.38,206159020.13,44.80,11,129774272.53,46328372.85,35.70,12,16749062.42,8940630.94,53.38,14,26644790.43,8115980.28,30.46,14,23456145.94,16184000.82,69.0,3.0,1689335.51,572470.65,33.89,13
13025,GA,Brantley,293630.58,41735.89,14.21,49,258839.34,38521.86,14.88,47,597425970.21,163552163.51,27.38,33,292010609.37,62631416.81,21.45,41,45911346.47,13354416.85,29.09,35,55317294.98,14422665.95,26.07,35,18496597.58,8220374.21,44.44,9.0,3738785.04,739903.27,19.79,47
13027,GA,Brooks,312705.14,41912.38,13.40,52,184839.08,30798.35,16.66,39,1267757441.30,292255104.62,23.05,33,369901697.67,77245666.65,20.88,35,74250055.35,15779612.01,21.25,37,76551707.47,16083208.54,21.01,37,35146496.35,17332274.63,49.31,9.0,4176412.66,845465.76,20.24,39
13029,GA,Bryan,265690.31,39781.82,14.97,45,205711.46,34442.94,16.74,37,1974422272.94,463904432.52,23.50,28,512869166.10,108182597.57,21.09,34,91121156.69,19628591.15,21.54,30,94881535.36,19948967.92,21.03,30,21442387.85,13617796.17,63.51,4.0,5615901.28,1139170.78,20.28,37
13031,GA,Bulloch,446414.64,51179.34,11.46,75,295821.84,40115.19,13.56,60,1893230921.56,389788254.01,20.59,44,559422916.83,96972262.47,17.33,54,143380762.44,27488695.36,19.17,49,148839567.21,27756499.68,18.65,49,94695617.27,36963628.06,39.03,11.0,6382185.12,1042610.58,16.34,60
13033,GA,Burke,505348.85,53737.69,10.63,84,319619.66,41802.30,13.08,60,2384561174.34,558531093.51,23.42,46,681102987.49,121058238.18,17.77,56,132187310.85,26811305.58,20.28,50,154898958.10,28040500.60,18.10,50,59583014.07,26375002.25,44.27,12.0,7582143.03,1237863.93,16.33,60
13035,GA,Butts,114161.75,26097.79,22.86,19,77336.19,20490.22,26.49,16,727216556.41,275359374.70,37.86,16,202866968.33,64650124.09,31.87,16,44466205.40,15301451.12,34.41,16,45378588.02,15785327.85,34.79,16,1213109.76,870910.75,71.79,2.0,2219657.91,674872.23,30.40,16
13037,GA,Calhoun,161870.93,30941.20,19.11,27,86131.40,21981.42,25.52,16,467823487.67,177439362.98,37.93,13,155370221.89,51556441.53,33.18,15,24271777.99,9421028.69,38.81,14,30813311.69,9504584.31,30.85,14,36655079.33,22769676.98,62.12,6.0,1731464.16,542302.46,31.32,16
