FIP_ID,STATE,COUNTY,79_SAMPLEDLANDWATER_ACRES,79_SE,79_SE_PERCENT,79_PLOT_COUNT,2_FORESTLAND_ACRES,2_SE,2_SE_PERCENT,2_PLOT_COUNT,20_NETSAWLOGVOLSAWTMBR_BRDFT,20_SE,20_SE_PERCENT,20_PLOT_COUNT,14_NETMERCHBOLELIVETREES_CBFT,14_SE,14_SE_PERCENT,14_PLOT_COUNT,203_AVGNETGROWTHSAWTMBR_BRDFT,203_SE,203_SE_PERCENT,203_PLOT_COUNT,1203_AVGANNGROSSGROWTHSAWTMBR_BRDFT,1203_SE,1203_SE_PERCENT,1203_PLOT_COUNT,227_AVGREMOVALSAWTMBR_BRDFT,227_SE,227_SE_PERCENT,227_PLOT_COUNT,98_CARBONLIVEABOVEGRND_MT,98_SE,98_SE_PERCENT,98_PLOT_COUNT
26001,MI,Alcona,451736.11,51458.18,11.39,105,334532.91,42447.38,12.69,92,1858863793.85,301757760.47,16.23,82,640416289.02,94239391.48,14.72,90,40784836.11,9080089.72,22.26,61,50681334.29,9733476.44,19.21,61,2605269.94,1803740.62,69.23,2.0,7302153.72,1021025.41,13.98,92
26003,MI,Alger,644716.09,55054.82,8.54,144,562193.76,49831.78,8.86,138,3424080612.92,378022461.17,11.04,129,1112817930.97,108378639.36,9.74,138,67950411.01,10285102.31,15.14,120,102214553.41,10981851.84,10.74,120,28916440.64,9332192.95,32.27,14.0,12881765.37,1220377.13,9.47,138
26005,MI,Allegan,564436.95,59346.48,10.51,87,171397.57,30954.86,18.06,32,1291358357.62,278709547.44,21.58,29,372929223.35,75091449.35,20.14,31,30471203.91,16843126.79,55.28,29,56971969.09,11904884.93,20.90,29,7099805.53,5043677.16,71.04,2.0,4472533.22,902150.62,20.17,32
26007,MI,Alpena,354601.33,50517.22,14.25,48,257234.29,41905.74,16.29,38,1377593244.52,308478204.38,22.39,31,463153785.36,91844439.15,19.83,37,44185334.32,11711961.72,26.51,32,54738303.22,12307272.84,22.48,32,11811508.88,6061028.4,51.31,4.0,4649078.74,879601.36,18.92,38
26009,MI,Antrim,341127.73,48391.60,14.19,51,164009.09,32446.91,19.78,30,903611617.64,212376924.56,23.50,24,326758543.92,70967070.35,21.72,28,34586552.32,9961585.08,28.80,24,37041122.47,10122746.55,27.33,24,1511893.14,1516684.68,100.32,1.0,3799252.25,825750.92,21.73,30
26011,MI,Arenac,225154.26,39907.38,17.72,33,89709.48,23774.68,26.50,16,194863813.97,88876130.39,45.61,12,76622162.72,24704338.87,32.24,16,4651616.19,6524170.16,140.26,13,15308450.17,7512151.20,49.07,13,4335056.79,3179133.64,73.34,2.0,906894.49,263593.02,29.07,16
26013,MI,Baraga,625300.90,59049.56,9.44,109,570821.11,55606.90,9.74,104,3485013050.24,462065424.23,13.26,97,1120407649.26,128232774.07,11.45,104,87717404.68,11584202.55,13.21,97,106420400.39,12546841.29,11.79,97,68028319.91,21205838.81,31.17,18.0,12934044.06,1405960.38,10.87,104
26015,MI,Barry,339447.90,46588.13,13.72,53,128021.12,26747.63,20.89,27,892678191.05,255680979.64,28.64,17,264960965.98,67239325.87,25.38,25,38639273.80,10464825.04,27.08,18,41636246.18,10288893.05,24.71,18,23902996.42,15569642.18,65.14,3.0,3407789.98,856454.80,25.13,27
26017,MI,Bay,339177.93,48832.77,14.40,48,53198.57,18641.75,35.04,9,420241168.83,249640401.33,59.40,7,115185657.90,58485182.92,50.77,9,13410074.87,9643208.66,71.91,5,14828501.44,9569780.71,64.54,5,,,,,1250058.72,607696.21,48.61,9
26019,MI,Benzie,242383.37,40822.99,16.84,36,149291.68,31384.24,21.02,24,844633417.97,219369922.25,25.97,20,323992375.29,74855531.62,23.10,24,11648482.99,7373449.28,63.30,17,28879636.23,7628099.69,26.41,17,1993701.37,1859222.2,93.25,1.0,4030420.79,908957.92,22.55,24
26021,MI,Berrien,405688.16,50911.92,12.55,61,101340.31,23781.36,23.47,21,826829932.36,224864587.76,27.20,19,253552263.82,66699953.59,26.31,21,9289639.45,9845772.97,105.99,16,34003080.57,10293081.15,30.27,16,26626319.91,14995508.47,56.32,3.0,2817431.04,722404.32,25.64,21
26023,MI,Branch,346291.52,47162.14,13.62,52,80913.98,22236.37,27.48,15,664239605.50,232231520.68,34.96,14,163947229.36,52702288.02,32.15,15,9735751.22,5424105.68,55.71,13,24203646.84,7090008.16,29.29,13,13919959.08,9622365.55,69.13,3.0,1836504.02,585391.87,31.88,15
