FIP_ID,STATE,COUNTY,79_SAMPLEDLANDWATER_ACRES,79_SE,79_SE_PERCENT,79_PLOT_COUNT,2_FORESTLAND_ACRES,2_SE,2_SE_PERCENT,2_PLOT_COUNT,20_NETSAWLOGVOLSAWTMBR_BRDFT,20_SE,20_SE_PERCENT,20_PLOT_COUNT,14_NETMERCHBOLELIVETREES_CBFT,14_SE,14_SE_PERCENT,14_PLOT_COUNT,203_AVGNETGROWTHSAWTMBR_BRDFT,203_SE,203_SE_PERCENT,203_PLOT_COUNT,1203_AVGANNGROSSGROWTHSAWTMBR_BRDFT,1203_SE,1203_SE_PERCENT,1203_PLOT_COUNT,227_AVGREMOVALSAWTMBR_BRDFT,227_SE,227_SE_PERCENT,227_PLOT_COUNT,98_CARBONLIVEABOVEGRND_MT,98_SE,98_SE_PERCENT,98_PLOT_COUNT
27001,MN,Aitkin,1285030.46,58317.53,4.54,422,851114.09,46020.33,5.41,304.0,1972823597.36,178823137.19,9.06,203.0,975740160.62,69007187.88,7.07,283.0,25838924.02,11959976.5,46.29,208.0,87494678.23,8286077.89,9.47,209.0,44639995.08,12363152.46,27.7,19.0,12411309.73,816130.9,6.58,304.0
27003,MN,Anoka,269801.52,28488.51,10.56,89,62381.38,12031.42,19.29,33.0,195989571.93,54197966.83,27.65,20.0,86134206.4,20871325.91,24.23,32.0,2273045.42,3949863.52,173.77,21.0,9170139.66,2616891.95,28.54,21.0,4681936.75,3257457.36,69.57,2.0,1131489.02,267036.69,23.6,33.0
27005,MN,Becker,905415.82,50249.10,5.55,299,327475.78,29437.68,8.99,126.0,1173380796.4,155611116.48,13.26,102.0,490068094.04,53379557.16,10.89,122.0,25092971.66,5468441.34,21.79,102.0,41737368.62,5153412.83,12.35,102.0,21516072.81,8335325.16,38.74,11.0,5994191.88,625332.95,10.43,126.0
27007,MN,Beltrami,1948273.41,70401.27,3.61,643,1014945.73,50701.08,5.0,365.0,2221700759.36,210471493.3,9.47,233.0,1057416033.95,72687272.68,6.87,337.0,50409998.22,10617903.75,21.06,244.0,90479059.79,7842238.2,8.67,245.0,18025716.21,6407468.43,35.55,17.0,12786598.96,778217.36,6.09,365.0
27009,MN,Benton,248964.90,27223.82,10.93,83,46158.66,10794.5,23.39,19.0,217115969.39,74119281.22,34.14,12.0,83092016.77,23624775.19,28.43,18.0,5612971.25,3274092.24,58.33,11.0,8133855.89,2853098.94,35.08,11.0,2486073.57,1919871.14,77.23,2.0,986898.58,271953.25,27.56,19.0
27011,MN,Big Stone,349825.24,32048.78,9.16,117,4685.98,3279.17,69.98,2.0,15738654.58,15113917.38,96.03,1.0,9808420.92,6802308.07,69.35,2.0,565371.56,522062.84,92.34,1.0,565371.56,522062.84,92.34,1.0,,,,,141242.52,102234.59,72.38,2.0
27013,MN,Blue Earth,490812.98,37862.55,7.71,163,35154.97,9516.83,27.07,14.0,256485532.41,101387004.76,39.53,10.0,77567991.55,26083499.04,33.63,13.0,2379924.18,1667131.58,70.05,9.0,4931345.44,2063289.43,41.84,9.0,,,,,847984.22,270244.09,31.87,14.0
27015,MN,Brown,397391.62,34125.98,8.59,135,11549.0,4689.6,40.61,9.0,53772925.36,40051787.86,74.48,6.0,24717064.92,12700728.06,51.38,9.0,2142019.14,1356451.81,63.33,5.0,3263022.16,1563695.76,47.92,5.0,,,,,298927.52,152315.95,50.95,9.0
27017,MN,Carlton,542993.08,38984.75,7.18,176,343191.81,30489.0,8.88,123.0,845632010.27,113492661.03,13.42,86.0,399858875.35,44747204.83,11.19,118.0,27695483.43,5486643.55,19.81,77.0,39679730.55,6049413.44,15.25,77.0,34748645.71,19559779.97,56.29,7.0,4745081.75,487543.55,10.27,123.0
27019,MN,Carver,243168.26,26960.37,11.09,81,14520.16,5669.29,39.04,7.0,45232441.32,20130776.18,44.51,6.0,34914978.7,15661729.05,44.86,7.0,2371542.86,1014562.35,42.78,6.0,2503044.17,1084126.06,43.31,6.0,256312.32,260987.97,101.82,1.0,386622.34,183482.75,47.46,7.0
27021,MN,Cass,1525777.62,61943.86,4.06,499,851594.57,44703.25,5.25,309.0,3030542697.98,268835970.19,8.87,236.0,1188915099.52,77558094.15,6.52,301.0,69534185.83,14362169.11,20.65,242.0,136813188.97,11156815.09,8.15,242.0,25115948.65,7043539.74,28.04,22.0,13975085.9,838656.7,6.0,309.0
27023,MN,Chippewa,365956.42,32748.43,8.95,123,5791.6,3953.34,68.26,2.0,20534061.86,14789016.55,72.02,2.0,9767521.95,6599010.4,67.56,2.0,-213720.6,943499.13,441.46,2.0,1369049.67,895266.48,65.39,2.0,,,,,102968.58,69639.25,67.63,2.0
27025,MN,Chisago,265463.32,28214.72,10.63,87,52040.57,11354.75,21.82,25.0,385262411.84,126898474.51,32.94,21.0,120758919.44,32827801.67,27.18,25.0,8133709.18,3266111.98,40.16,20.0,10171122.27,3429155.31,33.71,20.0,,,,,1568758.09,411163.52,26.21,25.0
27027,MN,Clay,679039.98,44277.62,6.52,227,23404.82,6890.07,29.44,14.0,77299794.01,32990952.56,42.68,8.0,41214178.35,13229379.18,32.1,14.0,-1095460.99,1301861.67,118.84,9.0,1938484.54,683160.77,35.24,9.0,170422.19,171114.07,100.41,1.0,495892.15,154326.59,31.12,14.0
27029,MN,Clearwater,656292.73,43373.80,6.61,215,315627.61,29288.09,9.28,117.0,929073900.18,138670379.17,14.93,88.0,395012064.3,45509659.18,11.52,114.0,19897025.19,4589170.96,23.06,88.0,35449580.12,4796082.55,13.53,88.0,6999429.6,3702880.65,52.9,5.0,4746401.38,515406.78,10.86,117.0
27031,MN,Cook,1078417.40,57726.40,5.35,289,933099.63,53061.12,5.69,265.0,3193071952.46,312538673.32,9.79,218.0,1195542852.31,89957310.55,7.52,256.0,78717856.21,11318574.81,14.38,217.0,117156012.76,10465610.62,8.93,217.0,21886416.85,10222438.33,46.71,9.0,13382712.58,906161.53,6.77,265.0
27033,MN,Cottonwood,413383.94,34805.33,8.42,138,6232.39,3948.07,63.35,3.0,64086648.82,52178224.25,81.42,2.0,24390798.0,16833535.82,69.02,3.0,-1315087.53,1333414.67,101.39,2.0,1145556.01,803390.56,70.13,2.0,,,,,277639.99,191943.57,69.13,3.0
27035,MN,Crow Wing,747190.86,46144.44,6.18,243,377242.9,31485.81,8.35,141.0,1431839592.44,162747641.7,11.37,119.0,557753905.37,53301724.23,9.56,138.0,49229636.2,8767001.25,17.81,119.0,70620139.11,8972691.45,12.71,119.0,10234756.04,3805139.17,37.18,11.0,6928819.36,638357.8,9.21,141.0
27037,MN,Dakota,371412.08,33237.21,8.95,122,30980.19,8635.94,27.88,14.0,366202555.31,209067509.99,57.09,11.0,95047438.21,43653634.03,45.93,14.0,7813144.74,4501179.82,57.61,13.0,10318719.38,4909439.91,47.58,13.0,666008.03,503919.21,75.66,2.0,957592.71,383832.16,40.08,14.0
27039,MN,Dodge,271429.61,28279.27,10.42,91,15587.59,5928.15,38.03,8.0,106715282.91,52778344.48,49.46,7.0,30500895.65,13354967.03,43.79,8.0,3443708.22,1410126.37,40.95,7.0,3443708.22,1410126.37,40.95,7.0,730375.93,674427.51,92.34,1.0,366187.91,156902.06,42.85,8.0
27041,MN,Douglas,470881.42,37149.30,7.89,156,49544.6,11154.4,22.51,24.0,358926676.39,103129425.34,28.73,18.0,110601127.36,30349104.74,27.44,21.0,3359227.65,2519165.98,74.99,17.0,8278767.06,2795614.83,33.77,17.0,,,,,1237236.9,320752.04,25.92,24.0
27043,MN,Faribault,481650.33,37480.78,7.78,162,6560.78,4049.28,61.72,4.0,39929917.34,33889776.26,84.87,2.0,13232446.69,8989608.14,67.94,4.0,268263.72,265915.55,99.12,1.0,268263.72,265915.55,99.12,1.0,,,,,135431.05,90252.96,66.64,4.0
27045,MN,Fillmore,562233.21,40473.08,7.20,186,89284.84,15181.19,17.0,37.0,450838235.79,109553315.65,24.3,31.0,150603803.49,30332868.87,20.14,36.0,8492033.14,2970064.87,34.97,31.0,14133790.44,3059660.65,21.65,31.0,629286.71,579515.12,92.09,1.0,1889510.76,376787.31,19.94,37.0
27047,MN,Freeborn,450478.54,36317.90,8.06,151,3127.54,2509.27,80.23,2.0,68824949.84,62906608.64,91.4,2.0,15185242.0,13835573.68,91.11,2.0,-2029715.44,1568443.39,77.27,2.0,1434033.99,1306738.52,91.12,2.0,,,,,163269.19,147494.2,90.34,2.0
27049,MN,Goodhue,496430.32,38141.59,7.68,164,62943.84,12711.41,20.19,27.0,201562505.71,53218792.97,26.4,20.0,112318856.5,30639737.04,27.28,27.0,3743293.29,2576722.09,68.84,21.0,8968147.96,2284631.69,25.47,21.0,5983815.32,4585833.23,76.64,2.0,1339233.31,346415.55,25.87,27.0
27051,MN,Grant,352387.73,32146.31,9.12,118,7742.1,4301.46,55.56,3.0,31255275.41,27920913.84,89.33,1.0,13963886.9,8697575.17,62.29,3.0,359286.78,311963.55,86.83,1.0,359286.78,311963.55,86.83,1.0,,,,,160218.83,100806.95,62.92,3.0
27053,MN,Hennepin,385324.31,33908.59,8.80,126,37596.9,9720.61,25.85,17.0,171446423.96,70393415.21,41.06,12.0,62791726.58,19852450.87,31.62,16.0,2129300.59,2670351.92,125.41,13.0,5184650.23,1748806.94,33.73,13.0,2208204.15,2187287.08,99.05,1.0,743033.48,234101.99,31.51,17.0
27055,MN,Houston,335234.61,31065.65,9.27,106,138050.73,18690.81,13.54,47.0,745966064.94,156945943.48,21.04,43.0,246869969.73,39892268.7,16.16,46.0,15233422.87,4483957.76,29.43,42.0,30220679.57,5768890.61,19.09,42.0,3922526.16,2082034.56,53.08,4.0,3049541.13,455685.69,14.94,47.0
27057,MN,Hubbard,616208.82,42082.10,6.83,204,386620.62,32062.06,8.29,147.0,1256305365.09,175033642.47,13.93,112.0,478382689.67,50068645.23,10.47,144.0,36910826.9,5987905.24,16.22,114.0,54686434.16,6705297.55,12.26,114.0,9409236.59,4104474.46,43.62,9.0,5519593.78,532325.6,9.64,147.0
27059,MN,Isanti,290136.77,29482.83,10.16,94,65861.67,13005.92,19.75,30.0,250607152.63,71037887.64,28.35,21.0,96433771.24,21694790.74,22.5,30.0,11254001.63,3036783.3,26.98,21.0,11513242.42,3161076.83,27.46,21.0,2802824.69,2322810.57,82.87,2.0,1195262.77,264584.73,22.14,30.0
27061,MN,Itasca,1921070.14,68655.31,3.57,624,1398619.35,57040.59,4.08,486.0,3801208376.32,305631003.07,8.04,319.0,1650872885.36,92869409.64,5.63,467.0,100081899.19,12251505.06,12.24,328.0,150010618.05,11251738.38,7.5,328.0,79245868.98,19369078.41,24.44,32.0,19448099.12,959965.43,4.94,486.0
27063,MN,Jackson,460690.26,36704.27,7.97,155,7614.87,4541.71,59.64,4.0,6021251.24,7257232.88,120.53,2.0,16128026.27,10408207.75,64.53,4.0,446156.12,317682.91,71.2,2.0,446156.12,317682.91,71.2,2.0,,,,,167825.92,106445.81,63.43,4.0
27065,MN,Kanabec,359160.20,32709.87,9.11,114,162956.67,21163.98,12.99,59.0,530709964.03,89749662.61,16.91,51.0,260107565.15,37448813.14,14.4,59.0,17593033.06,3387727.7,19.26,48.0,20917122.49,3464067.61,16.56,48.0,2406680.1,1949162.6,80.99,2.0,3187262.04,448886.9,14.08,59.0
27067,MN,Kandiyohi,576904.74,40810.29,7.07,191,45228.12,10514.71,23.25,20.0,183599128.39,53469655.43,29.12,14.0,78354596.61,20547128.22,26.22,20.0,6848385.21,3160950.68,46.16,12.0,7508150.91,3196935.44,42.58,12.0,,,,,914016.69,233028.15,25.49,20.0
27069,MN,Kittson,695914.56,44631.38,6.41,235,83895.12,13845.23,16.5,44.0,57215865.38,29822351.0,52.12,12.0,48853188.58,11209993.76,22.95,37.0,279165.47,509054.17,182.35,13.0,2250760.71,865407.74,38.45,13.0,509757.73,470709.15,92.34,1.0,725587.85,153637.19,21.17,44.0
27071,MN,Koochiching,2022853.76,65122.56,3.22,654,1735681.12,60261.65,3.47,581.0,2772848012.29,233406479.97,8.42,306.0,1453988630.19,81215948.23,5.59,502.0,89362779.61,8936292.2,10.0,313.0,122491217.53,8948569.33,7.31,313.0,68361103.73,14101386.99,20.63,35.0,18286067.09,823528.27,4.5,581.0
27073,MN,Lac qui Parle,508184.29,38321.22,7.54,170,19570.47,7174.81,36.66,8.0,39554591.75,15582672.74,39.4,6.0,24540405.44,9389410.34,38.26,8.0,1703976.16,779865.38,45.77,6.0,1703976.16,779865.38,45.77,6.0,,,,,301691.74,113776.42,37.71,8.0
27075,MN,Lake,1455912.41,65685.42,4.51,416,1273773.78,60933.65,4.78,382.0,3231272343.73,266798183.4,8.26,287.0,1355870350.61,84875437.59,6.26,356.0,54918769.79,12461856.87,22.69,297.0,127268017.66,9975831.81,7.84,297.0,24423891.86,8613127.95,35.27,13.0,15545389.79,875858.25,5.63,382.0
27077,MN,Lake of the Woods,1153123.20,55034.43,4.77,386,555849.14,38604.99,6.95,196.0,656619185.25,96331470.32,14.67,100.0,385389380.64,39206298.16,10.17,175.0,5585273.29,6815166.18,122.02,110.0,33917950.17,4528951.66,13.35,110.0,9779117.51,4059078.1,41.51,8.0,4816823.56,417709.17,8.67,196.0
27079,MN,Le Sueur,315207.83,30612.21,9.71,105,21681.6,7472.29,34.46,9.0,69549187.91,36042964.02,51.82,8.0,41742181.91,16054933.35,38.46,9.0,3584899.23,1971654.64,55.0,9.0,4531706.63,1874021.82,41.35,9.0,,,,,531971.25,201728.79,37.92,9.0
27081,MN,Lincoln,349304.93,32040.91,9.17,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27083,MN,Lyon,460789.76,36622.05,7.95,155,1399.12,1402.99,100.28,1.0,9148539.61,9173879.11,100.28,1.0,2588130.64,2595299.21,100.28,1.0,186205.13,186961.09,100.41,1.0,186205.13,186961.09,100.41,1.0,,,,,28258.98,28337.25,100.28,1.0
27085,MN,McLeod,313989.31,30385.31,9.68,104,8738.6,4164.23,47.65,6.0,38567772.55,32831352.88,85.13,3.0,20385242.6,12672372.01,62.16,5.0,2284788.23,1783515.79,78.06,3.0,2533719.16,1768655.34,69.8,3.0,,,,,258615.03,147383.62,56.99,6.0
27087,MN,Mahnomen,373892.99,33110.83,8.86,123,111307.76,17575.92,15.79,44.0,353652758.11,78261251.6,22.13,38.0,164885754.97,28959978.69,17.56,43.0,11571201.2,3876420.01,33.5,34.0,13407105.44,3930015.5,29.31,34.0,1600324.88,1370024.16,85.61,2.0,1999783.87,334745.12,16.74,44.0
