FIP_ID,STATE,COUNTY,79_SAMPLEDLANDWATER_ACRES,79_SE,79_SE_PERCENT,79_PLOT_COUNT,2_FORESTLAND_ACRES,2_SE,2_SE_PERCENT,2_PLOT_COUNT,20_NETSAWLOGVOLSAWTMBR_BRDFT,20_SE,20_SE_PERCENT,20_PLOT_COUNT,14_NETMERCHBOLELIVETREES_CBFT,14_SE,14_SE_PERCENT,14_PLOT_COUNT,203_AVGNETGROWTHSAWTMBR_BRDFT,203_SE,203_SE_PERCENT,203_PLOT_COUNT,1203_AVGANNGROSSGROWTHSAWTMBR_BRDFT,1203_SE,1203_SE_PERCENT,1203_PLOT_COUNT,227_AVGREMOVALSAWTMBR_BRDFT,227_SE,227_SE_PERCENT,227_PLOT_COUNT,98_CARBONLIVEABOVEGRND_MT,98_SE,98_SE_PERCENT,98_PLOT_COUNT
28001,MS,Adams,278799.69,39372.07,14.12,52,195686.56,31655.19,16.18,42,2285390915.86,473176116.32,20.7,39.0,579817739.47,105949548.51,18.27,42,85123253.51,22348308.69,26.25,39.0,102651792.27,22459284.33,21.88,39.0,9777306.85,6081594.2,62.2,3.0,6570978.56,1216845.86,18.52,42
28003,MS,Alcorn,266929.26,39666.88,14.86,44,151865.33,29454.97,19.40,27,1045203064.88,292592760.6,27.99,21.0,312034842.33,78222073.65,25.07,24,69088295.22,18623456.41,26.96,24.0,73232526.04,20063007.39,27.4,24.0,20913416.24,10573634.57,50.56,6.0,3740121.70,898624.62,24.03,27
28005,MS,Amite,496613.45,51892.25,10.45,91,388602.96,44529.86,11.46,81,3453102050.2,504541674.2,14.61,67.0,902267732.28,119177336.76,13.21,73,268684409.24,42004565.7,15.63,72.0,279676087.77,42395956.9,15.16,72.0,149275434.73,45447467.84,30.45,25.0,10054062.03,1273803.53,12.67,81
28007,MS,Attala,482739.38,51653.33,10.70,80,385240.28,45192.89,11.73,70,3110945531.93,494286316.33,15.89,60.0,936857929.50,130938040.13,13.98,66,196077928.35,32833780.54,16.75,65.0,210957487.69,33864308.88,16.05,65.0,65078337.62,25707600.03,39.5,16.0,10626223.36,1426691.43,13.43,70
28009,MS,Benton,259728.91,36512.01,14.06,60,199122.04,30234.10,15.18,54,1664874161.74,335044563.03,20.12,48.0,506424719.38,93240505.88,18.41,53,103257846.97,22162225.68,21.46,51.0,109858270.17,23327618.38,21.23,51.0,10869494.8,4954997.89,45.59,6.0,5776657.35,1020494.19,17.67,54
28011,MS,Bolivar,603621.95,56879.07,9.42,101,149592.88,28346.07,18.95,27,743613296.01,190220079.88,25.58,19.0,290854142.36,67808253.28,23.31,26,2586126.26,11574360.89,447.56,20.0,24006448.24,6465936.69,26.93,20.0,522157.73,518862.43,99.37,1.0,3152483.74,693696.13,22.00,27
28013,MS,Calhoun,381835.49,47102.28,12.34,63,251264.20,37104.71,14.77,48,1717695564.45,370525691.69,21.57,38.0,502934740.45,91358536.64,18.17,44,161469379.67,38282359.09,23.71,42.0,174436424.29,38872392.53,22.28,42.0,66985961.09,29944478.17,44.7,8.0,5960041.94,1001934.95,16.81,48
28015,MS,Carroll,414510.94,48602.99,11.73,68,308139.20,40680.95,13.20,58,2915900089.56,506561590.59,17.37,52.0,818107190.31,121774052.11,14.88,57,178734445.66,35145214.37,19.66,54.0,200325554.75,34979795.82,17.46,54.0,36180586.86,23197434.23,64.12,5.0,9045793.52,1301699.56,14.39,58
28017,MS,Chickasaw,313640.34,41649.18,13.28,61,169578.07,29047.50,17.13,41,1080530747.28,230115948.95,21.3,34.0,357590906.78,67832248.48,18.97,39,86194646.11,21260423.25,24.67,35.0,95309076.5,22194697.18,23.29,35.0,44733567.78,31130505.35,69.59,3.0,4117265.53,752745.44,18.28,41
28019,MS,Choctaw,274909.36,39406.30,14.33,49,226944.78,34642.17,15.26,45,2014875667.99,389551606.61,19.33,40.0,601805689.64,105116477.32,17.47,43,141600074.19,28092401.53,19.84,42.0,147427814.93,28370950.62,19.24,42.0,38829986.65,19561487.23,50.38,6.0,6665283.20,1130591.30,16.96,45
28021,MS,Claiborne,315879.90,42935.88,13.59,50,246403.81,36345.19,14.75,45,2591579719.15,473703469.59,18.28,39.0,661494360.10,113540030.99,17.16,44,66271271.84,24876049.34,37.54,42.0,124720751.8,23057923.8,18.49,42.0,72495128.47,30666582.11,42.3,7.0,7425633.33,1248723.27,16.82,45
28023,MS,Clarke,446396.67,49606.69,11.11,75,365579.73,44208.10,12.09,67,2927338098.15,499542564.44,17.06,57.0,829457382.69,123582288.20,14.90,59,205425495.17,33594336.71,16.35,63.0,216568221.74,34356225.34,15.86,64.0,77694428.43,26122392.05,33.62,20.0,9110667.33,1288620.29,14.14,67
28025,MS,Clay,284950.53,40942.28,14.37,47,164148.81,30128.30,18.35,30,1178002021.56,297474871.11,25.25,23.0,410276709.12,86802979.23,21.16,28,79889408.99,21918624.13,27.44,26.0,91649583.1,22365631.67,24.4,26.0,52015625.93,23099018.25,44.41,7.0,5034470.90,1048142.85,20.82,30
28027,MS,Coahoma,366910.51,44995.14,12.26,63,71522.15,19467.88,27.22,14,883764832.23,323487058.13,36.6,13.0,198673253.69,64845965.40,32.64,14,27556654.67,11122010.71,40.36,13.0,33950436.88,11524589.43,33.95,13.0,4520950.57,4167936.84,92.19,2.0,2114078.00,683362.64,32.32,14
28029,MS,Copiah,507958.65,53065.68,10.45,82,417236.23,47487.15,11.38,70,3453222761.81,576455010.56,16.69,61.0,971158077.88,137254923.09,14.13,67,210263637.11,35304974.79,16.79,63.0,235371708.66,35603255.16,15.13,63.0,50025033.03,19366955.64,38.71,11.0,10991425.07,1479478.93,13.46,70
28031,MS,Covington,251394.01,38664.12,15.38,41,127867.47,26338.01,20.60,27,1137081623.23,293791869.9,25.84,23.0,306345265.31,70236046.45,22.93,26,86997928.9,20400275.76,23.45,26.0,92857380.46,21056575.5,22.68,26.0,66965948.94,38955535.76,58.17,6.0,3348785.58,751922.43,22.45,27
