FIP_ID,STATE,COUNTY,79_SAMPLEDLANDWATER_ACRES,79_SE,79_SE_PERCENT,79_PLOT_COUNT,2_FORESTLAND_ACRES,2_SE,2_SE_PERCENT,2_PLOT_COUNT,20_NETSAWLOGVOLSAWTMBR_BRDFT,20_SE,20_SE_PERCENT,20_PLOT_COUNT,14_NETMERCHBOLELIVETREES_CBFT,14_SE,14_SE_PERCENT,14_PLOT_COUNT,203_AVGNETGROWTHSAWTMBR_BRDFT,203_SE,203_SE_PERCENT,203_PLOT_COUNT,1203_AVGANNGROSSGROWTHSAWTMBR_BRDFT,1203_SE,1203_SE_PERCENT,1203_PLOT_COUNT,227_AVGREMOVALSAWTMBR_BRDFT,227_SE,227_SE_PERCENT,227_PLOT_COUNT,98_CARBONLIVEABOVEGRND_MT,98_SE,98_SE_PERCENT,98_PLOT_COUNT
45001,SC,Abbeville,367369.22,44545.09,12.13,71,262377.35,36092.69,13.76,60,2022519320.19,360290053.62,17.81,51,587348936.74,93343691.52,15.89,56,103052238.44,19671259.43,19.09,53,114322312.54,20474166.15,17.91,53,41798319.35,22859034.93,54.69,7,6862274.14,1051399.64,15.32,60
45003,SC,Aiken,670797.55,59793.42,8.91,111,421651.93,46301.14,10.98,84,2949541465.32,474994521.65,16.10,68,838607845.12,118719981.89,14.16,77,128341045.77,24897357.24,19.40,72,153291980.26,23912827.92,15.60,72,31619583.52,15118592.35,47.81,7,9719765.20,1282607.97,13.20,84
45005,SC,Allendale,283719.84,40418.92,14.25,47,189901.71,32301.70,17.01,36,1404991370.88,372841370.13,26.54,26,401062292.23,89073002.29,22.21,33,62108017.18,17171394.84,27.65,27,74331635.13,18189803.66,24.47,27,11721893.00,5608194.99,47.84,7,4430917.79,948240.61,21.40,36
45007,SC,Anderson,483230.26,51309.47,10.62,81,200720.57,32164.72,16.02,40,1982458079.85,403166358.17,20.34,35,576519055.17,104738609.69,18.17,39,98598170.75,25075298.79,25.43,36,112178634.95,25270511.88,22.53,36,4447061.51,3757014.33,84.48,2,6473807.06,1141918.31,17.64,40
45009,SC,Bamberg,235372.47,36864.52,15.66,39,203476.26,33534.42,16.48,36,1489613530.95,379341739.97,25.47,27,407128200.76,88989601.95,21.86,33,110265296.30,26374394.18,23.92,29,115114640.89,27147023.28,23.58,29,65070780.68,32960225.43,50.65,7,4493722.71,911324.51,20.28,36
45011,SC,Barnwell,346084.13,44113.55,12.75,58,268862.83,38433.95,14.30,50,1902860313.26,437409284.46,22.99,35,494133562.90,96353753.46,19.50,44,66361333.81,14209799.48,21.41,43,78216713.86,15384150.30,19.67,43,98821722.43,36321524.15,36.75,12,5766088.66,1057483.49,18.34,50
45013,SC,Beaufort,607891.42,55797.46,9.18,100,123863.35,24591.42,19.85,30,1217884980.01,307447826.25,25.24,27,366568888.74,86437502.46,23.58,30,38694567.39,14840355.18,38.35,29,56138485.99,13836145.51,24.65,29,11740019.73,9714105.35,82.74,3,4180344.52,941298.76,22.52,30
45015,SC,Berkeley,767928.91,58665.35,7.64,198,561200.46,46807.09,8.34,172,4597891601.54,490360611.71,10.66,153,1327862704.44,128320232.11,9.66,164,279154013.41,33203336.67,11.89,160,300450918.64,34230304.36,11.39,160,113660197.76,38598324.36,33.96,18,14517041.79,1355219.15,9.34,172
45017,SC,Calhoun,266065.44,39202.03,14.73,44,172858.49,31172.76,18.03,32,1096626229.06,313319224.59,28.57,26,329387341.13,76534095.89,23.24,30,64517875.93,17371729.78,26.93,28,66210563.59,17594167.85,26.57,28,10958403.95,7890600.49,72.01,3,3832278.10,825359.60,21.54,32
45019,SC,Charleston,869044.57,65333.87,7.52,170,285778.86,35829.21,12.54,80,2262145366.42,369645111.42,16.34,68,659337899.82,98511895.85,14.94,76,134012711.23,21516551.07,16.06,71,137307202.40,21860359.19,15.92,71,58719722.78,29053651.50,49.48,8,7525911.83,1083814.54,14.40,80
