FIP_ID,STATE,COUNTY,79_SAMPLEDLANDWATER_ACRES,79_SE,79_SE_PERCENT,79_PLOT_COUNT,2_FORESTLAND_ACRES,2_SE,2_SE_PERCENT,2_PLOT_COUNT,20_NETSAWLOGVOLSAWTMBR_BRDFT,20_SE,20_SE_PERCENT,20_PLOT_COUNT,14_NETMERCHBOLELIVETREES_CBFT,14_SE,14_SE_PERCENT,14_PLOT_COUNT,203_AVGNETGROWTHSAWTMBR_BRDFT,203_SE,203_SE_PERCENT,203_PLOT_COUNT,1203_AVGANNGROSSGROWTHSAWTMBR_BRDFT,1203_SE,1203_SE_PERCENT,1203_PLOT_COUNT,227_AVGREMOVALSAWTMBR_BRDFT,227_SE,227_SE_PERCENT,227_PLOT_COUNT,98_CARBONLIVEABOVEGRND_MT,98_SE,98_SE_PERCENT,98_PLOT_COUNT
55001,WI,Adams,418685.45,35147.15,8.39,132,234420.34,25534.88,10.89,85,867703032.46,133419349.84,15.38,72,291684093.40,37386868.67,12.82,83,32395080.79,7904068.38,24.40,73,50412727.44,7636669.41,15.15,73,17003258.1,4857178.93,28.57,19.0,3517681.62,429300.54,12.20,85
55003,WI,Ashland,550211.67,39100.17,7.11,183,438063.51,33868.65,7.73,157,1935979205.83,212000697.34,10.95,133,730263044.75,66546447.81,9.11,155,51097716.19,6230218.64,12.19,132,61980078.06,6577097.72,10.61,132,9026045.85,2992531.82,33.15,14.0,8846837.17,773924.18,8.75,157
55005,WI,Barron,576063.27,40469.01,7.03,180,172550.15,22292.29,12.92,66,996055140.14,182033303.60,18.28,55,339957928.94,51653942.18,15.19,64,34139386.49,6675725.86,19.55,51,38926563.29,6929982.75,17.80,51,14783701.14,8030848.29,54.32,7.0,4145251.04,610093.28,14.72,66
55007,WI,Bayfield,958704.09,49703.21,5.18,314,795588.38,44123.68,5.55,278,3286209857.46,289700389.56,8.82,211,1246972448.39,85896208.53,6.89,268,92749200.91,9884742.65,10.66,219,128546146.05,10148481.36,7.89,219,41693318.77,12177257.09,29.21,30.0,14936437.43,965930.20,6.47,278
55009,WI,Brown,344364.17,31495.35,9.15,114,62065.30,12404.60,19.99,29,401822088.48,101317972.17,25.21,21,143531624.03,32419868.28,22.59,29,11449971.90,3125208.21,27.29,22,17764040.48,4238516.91,23.86,22,2690976.56,2687536.6,99.87,1.0,1627014.43,354923.23,21.81,29
55011,WI,Buffalo,479114.22,37238.98,7.77,152,213673.27,24067.90,11.26,82,1338082548.28,199399382.21,14.90,67,442570349.26,57574782.20,13.01,78,30723680.34,6290304.89,20.47,63,45351565.00,6691774.95,14.76,63,10236674.83,4889209.48,47.76,6.0,5604730.30,713188.78,12.72,82
55013,WI,Burnett,594339.59,41233.20,6.94,187,385973.09,32334.46,8.38,137,1232597330.10,160085998.64,12.99,101,464708473.41,49892129.16,10.74,129,39179134.82,7747717.05,19.78,101,56957357.45,7367081.90,12.93,102,22940273.97,6889012.59,30.03,17.0,5769256.05,572599.25,9.93,137
55015,WI,Calumet,259094.30,27417.53,10.58,84,38558.35,10222.14,26.51,15,182106406.38,55255195.43,30.34,13,71320569.45,20147544.20,28.25,15,5559798.62,1735866.44,31.22,12,6669890.03,2191252.61,32.85,12,4346912.03,4148769.79,95.44,2.0,847617.40,236939.11,27.95,15
55017,WI,Chippewa,691135.90,44763.99,6.48,216,280959.27,27249.27,9.70,107,1111559845.09,165543575.23,14.89,77,409461789.07,49194811.37,12.01,100,41752740.61,6347193.14,15.20,83,49315005.16,6579121.00,13.34,83,13604256.32,4831116.57,35.51,17.0,5098921.82,586867.00,11.51,107
55019,WI,Clark,792104.54,47251.99,5.97,251,327049.72,29090.89,8.89,121,1550425880.54,196625848.41,12.68,102,494514766.48,54882685.10,11.10,117,58471359.05,7806990.92,13.35,102,65807881.79,7973453.96,12.12,102,23438636.63,10647944.75,45.43,16.0,6210257.91,655716.98,10.56,121
55021,WI,Columbia,505641.44,37703.02,7.46,169,99998.48,15818.53,15.82,44,591353154.36,125044257.30,21.15,36,187025657.26,34255891.19,18.32,44,16646828.56,3701375.98,22.23,39,20971995.43,4030742.46,19.22,39,6896201.8,2911226.52,42.21,9.0,2278163.35,403718.93,17.72,44
55023,WI,Crawford,359713.53,32485.83,9.03,116,158298.06,20536.95,12.97,62,942215745.23,170891854.84,18.14,48,300886487.02,47681751.57,15.85,60,14643567.44,6311837.54,43.10,46,28615574.94,5363990.38,18.75,46,6505749.91,3273572.3,50.32,6.0,3958792.32,587460.44,14.84,62
55025,WI,Dane,782039.85,46328.97,5.92,258,101511.48,15317.17,15.09,50,468331358.01,98643099.30,21.06,35,187505379.47,31526969.27,16.81,50,8175576.95,4471457.02,54.69,36,19588869.20,3823024.77,19.52,36,5222668.31,3021015.59,57.84,3.0,2335743.31,388958.33,16.65,50
55027,WI,Dodge,583362.37,40250.65,6.90,194,46922.11,10906.95,23.24,21,168916303.99,64659823.06,38.28,14,68910566.84,21566223.99,31.30,19,6724579.13,3413095.42,50.76,15,11004842.52,3710665.31,33.72,15,136981.69,136806.58,99.87,1.0,779452.16,233091.87,29.90,21
55029,WI,Door,329083.75,30449.96,9.25,109,152282.51,19153.20,12.58,63,823612157.96,144031246.62,17.49,51,293721856.49,43476891.58,14.80,62,14835108.57,6069558.01,40.91,50,24882921.07,4054733.85,16.30,50,7746555.57,3424704.52,44.21,6.0,3228910.17,479414.77,14.85,63
55031,WI,Douglas,878266.77,48773.53,5.55,275,676223.23,41737.64,6.17,234,1505498941.68,169745443.45,11.28,154,686649646.23,56442309.48,8.22,220,34738321.37,10200071.71,29.36,161,69752137.66,7784996.36,11.16,161,23100970.0,5787334.07,25.05,25.0,8628420.83,644868.33,7.47,234
55033,WI,Dunn,565528.37,40268.87,7.12,180,224226.68,24222.41,10.80,87,798806468.49,107288070.57,13.43,72,343877250.33,40719270.99,11.84,84,25252868.19,5533562.48,21.91,73,36018688.93,4706325.19,13.07,73,11807721.3,4963416.28,42.04,9.0,4504156.28,535731.08,11.89,87
55035,WI,Eau Claire,421866.71,35751.65,8.47,133,168736.31,21452.27,12.71,67,781880859.04,142382831.04,18.21,51,279452860.89,45383102.00,16.24,62,32012037.12,6239122.45,19.49,53,35644461.90,6393306.99,17.94,54,7353499.63,2968519.79,40.37,9.0,3569858.51,546011.13,15.30,67
55037,WI,Florence,320908.72,29804.58,9.29,110,293604.97,27986.73,9.53,107,1559908386.52,203394872.07,13.04,91,526018954.02,57543100.82,10.94,105,44141783.08,6516591.20,14.76,93,53995394.58,6709285.99,12.43,93,11709222.14,4535215.65,38.73,12.0,5887713.51,621017.32,10.55,107
55039,WI,Fond du Lac,496669.18,37611.43,7.57,164,46766.80,10662.16,22.80,23,201810358.54,86524635.73,42.87,14,79140668.53,23937531.16,30.25,23,6863976.14,2845835.72,41.46,15,8525013.09,2969926.18,34.84,15,2570756.72,1859652.12,72.34,2.0,925457.32,258234.31,27.90,23
55041,WI,Forest,630283.55,35771.59,5.68,221,566261.04,32888.72,5.81,207,3105467927.42,255371063.34,8.22,184,1122147119.51,74904825.48,6.68,205,82019623.36,8459609.52,10.31,185,110803620.95,8623919.44,7.78,185,13155997.88,3967870.54,30.16,18.0,12908255.17,835683.23,6.47,207
55043,WI,Grant,759070.93,45581.72,6.00,245,201750.36,22278.99,11.04,84,1035568694.93,157584304.91,15.22,66,374687610.22,48285888.88,12.89,83,23564045.64,5230650.70,22.20,64,37370862.41,5448322.32,14.58,64,18050480.45,6563563.72,36.36,10.0,4740858.87,588218.49,12.41,84
55045,WI,Green,364046.93,32323.66,8.88,121,39456.65,9904.91,25.10,20,158733338.96,55373241.86,34.88,14,66028843.90,19337596.79,29.29,19,5219219.15,1939902.66,37.17,16,7352358.67,2172125.44,29.54,16,2373159.72,1938532.06,81.69,3.0,859524.89,244246.53,28.42,20
55047,WI,Green Lake,250149.05,27054.39,10.82,83,48461.04,11380.31,23.48,20,240891732.78,95549498.30,39.66,16,72319429.74,22052626.44,30.49,20,6124345.81,2707356.60,44.21,14,8357344.26,3382411.51,40.47,14,1024542.77,1050536.13,102.54,1.0,856749.57,231418.50,27.01,20
55049,WI,Iowa,480152.49,37200.03,7.75,156,158020.42,20521.20,12.99,59,836700175.43,149010996.80,17.81,49,288052888.91,42905515.52,14.90,59,20278390.32,4565018.67,22.51,49,27981370.08,4914912.70,17.56,49,10433499.23,6899013.88,66.12,5.0,3658345.74,536675.19,14.67,59
55051,WI,Iron,526675.71,38135.57,7.24,172,446638.17,34054.31,7.62,160,1710101084.62,191417818.65,11.19,129,698910036.11,63561799.42,9.09,157,47139747.43,6164648.17,13.08,133,59783566.60,6289303.35,10.52,133,18534914.17,6309587.69,34.04,17.0,8480975.14,734436.20,8.66,160
55053,WI,Jackson,623285.53,41366.47,6.64,201,363475.30,29779.29,8.19,139,1316985334.10,177077995.15,13.45,104,445044738.46,47554137.88,10.69,134,59822934.52,7746873.91,12.95,115,70584907.22,8159774.79,11.56,115,22387528.7,7387481.18,33.0,20.0,5311410.83,536559.80,10.10,139
55055,WI,Jefferson,356822.61,32134.55,9.01,118,50132.73,11059.22,22.06,25,115499084.06,45674507.64,39.55,13,55355677.30,16699181.94,30.17,23,3255343.20,1964146.26,60.34,16,6152097.06,1909403.83,31.04,16,4059777.0,2427300.34,59.79,3.0,670722.00,200450.88,29.89,25
55057,WI,Juneau,499645.15,38239.51,7.65,157,261712.85,26806.62,10.24,95,1265394580.91,218674237.09,17.28,75,382273593.73,52798742.60,13.81,91,36843660.83,6062680.56,16.46,80,47457586.98,6710181.54,14.14,80,7852570.1,2654899.26,33.81,11.0,4628457.91,586876.52,12.68,95
55059,WI,Kenosha,170902.32,22492.50,13.16,57,18712.57,6962.08,37.21,8,119991507.95,62714012.99,52.27,7,33274250.13,14228762.06,42.76,8,765984.59,1366762.02,178.43,7,2847454.50,1185396.94,41.63,7,,,,,433264.73,184679.49,42.63,8
